File	Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date
History_1a-rdf.tsv	Weir, R. E.	2	29	JOURNAL OF SOCIAL HISTORY	0022-4529	(Uk)RN001126428	JOURNAL OF SOCIAL HISTORY -BERKELEY THEN PITTSBURGH- 29(2), 449-450. (1995)	Vance Packard and American Social Criticism. By Daniel Horowitz	xxu	eng	CARNEGIE MELLON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Nash, G. B.	3	82	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN001198830	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 82(3), 941-964. (1995)	The Hidden History of Mestizo America	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	1995
History_1a-rdf.tsv		3	82	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN001198944	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 82(3), 1116-1117. (1995)	Comments at the Organization of American Historians Meeting	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	1995
History_1a-rdf.tsv	Silbey, J. H.	3	26	JOURNAL OF INTERDISCIPLINARY HISTORY	0022-1953	(Uk)RN001257286	JOURNAL OF INTERDISCIPLINARY HISTORY 26(3), 539-540. (1996)	Demythologizing an Elite: American Presidents in Empirical, Comparative, and Historical Perspective by Mostafa Rejai and Kay Phillips with Warren L. Mason	xxu	eng	THE JOURNAL OF INTERDISCIPLINARY HISTORY	1996
History_1a-rdf.tsv	Walz, T.	1	49	ARCHAEOLOGY -CAMBRIDGE MASSACHUSETTS THEN NEW YORK-	0003-8113	(Uk)RN001338079	ARCHAEOLOGY -CAMBRIDGE MASSACHUSETTS THEN NEW YORK- 49(1), 70-78. (1996)	At the Museums: The American Experience in Egypt	xxu	eng	ARCHAEOLOGICAL INSTITUTE OF AMERICA	1996
History_1a-rdf.tsv	Bailey, D.	3	26	JOURNAL OF BLACK STUDIES	0021-9347	(Uk)RN001353767	JOURNAL OF BLACK STUDIES 26(3), 287-307. (1996)	The Contextual Impact of Social Support Across Race and Gender: Implications for African American Women in the Workplace	xxu	eng	SAGE PUBLICATIONS LTD	1996
History_1a-rdf.tsv	Joseph, J.	3	26	JOURNAL OF BLACK STUDIES	0021-9347	(Uk)RN001353780	JOURNAL OF BLACK STUDIES 26(3), 340-355. (1996)	School Factors and Delinquency: A Study of African American Youths	xxu	eng	SAGE PUBLICATIONS LTD	1996
History_1a-rdf.tsv	Finnegan, R. B.	2	30	EIRE IRELAND	0013-2683	(Uk)RN001360024	EIRE IRELAND 30(2), 42-55. (1995)	The Invisible Hand or Hands Across the Water?: American Consultants and Irish Economic Policy	xxu	eng	THE IRISH AMERICAN CULTURAL INSTITUTE	1995
History_1a-rdf.tsv	Hadar, L. T.	597	95	CURRENT HISTORY -NEW YORK THEN PHILADELPHIA-	0011-3530	(Uk)RN001419055	CURRENT HISTORY -NEW YORK THEN PHILADELPHIA- 95(597), 1-5. (1996)	America's Moment in the Middle East	xxu	eng	CURRENT HISTORY, INC.	1996
History_1a-rdf.tsv	Silverblatt, I.	4	42	ETHNOHISTORY	0014-1801	(Uk)RN001527320	ETHNOHISTORY 42(4), 639-650. (1995)	Lessons of Gender and Ethnohistory in Mesoamerica	xxu	eng	DUKE UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Meyer, W. E. H.	2	18	JOURNAL OF AMERICAN CULTURE	0191-1813	(Uk)RN001600400	JOURNAL OF AMERICAN CULTURE 18(2), 35-44. (1995)	The Hypervisual Essence of American Democracy: A Multi-Discipline Free Synthesis	xxu	eng	BOWLING GREEN STATE UNIV	1995
History_1a-rdf.tsv	Israel, J.	3	54	JOURNAL OF ASIAN STUDIES -ANN ARBOR-	0021-9118	(Uk)RN001607698	JOURNAL OF ASIAN STUDIES -ANN ARBOR- 54(3), 840-841. (1995)	Shaw, An American Missionary in China: John Leighton Stuart and Chinese-American Relations	xxu	eng	PRINCETON UNIVERSITY PRESS	1995
